song,level,lyrics
I'll Cry Instead,4,"I've got every reason on earth to be mad<br>Cos I've just lost the only girl I had<br>And if I could get my way<br>I'd get myself locked up today<br>But I can't so I cry instead<br><br>I've got a chip on my shoulder that's bigger than my feet<br>I can't talk to people that I meet<br>And if I could see you now<br>I'd try to make you sad somehow<br>But I can't so I cry instead<br><br>Don't want to cry when there's people there<br>I get shy when they start to stare<br>I'm gonna hide myself away, ay hay<br>But I'll come back again someday<br><br>And when I do you'd better hide all the girls<br>I'm gonna break their hearts all 'round the world<br>Yes, I'm gonna break them in two<br>And show you what your loving man can do<br>Until then I'll cry instead<br><br>Don't want to cry when there's people there<br>I get shy when they start to stare<br>I'm gonna hide myself away, ay hay<br>But I'll come back again someday<br><br>And when I do you'd better hide all the girls<br>Cos I'm gonna break their hearts all 'round the world<br>Yes, I'm gonna break them in two<br>And show you what your loving man can do<br>Until then I'll cry instead"
I'll Follow The Sun,4,"One day you'll look to see I've gone<br>For tomorrow may rain, so I'll follow the sun<br>Some day you'll know I was the one<br>But tomorrow may rain, so I'll follow the sun<br><br>And now the time has come<br>And so my love I must go<br>And though I lose a friend<br>In the end you will know, oooh<br><br>One day you'll find that I have gone<br>But tomorrow may rain, so I'll follow the sun<br><br>Yea, tomorrow may rain, so I'll follow the sun<br>And now the time has come<br>And so my love I must go<br>And though I lose a friend<br>In the end you'll know, oooh<br><br>One day you'll find that I have gone<br>But tomorrow may rain, so I'll follow the sun"
I'll Get You,4,"Oh yeah, oh yeah<br>Oh yeah, oh yeah<br><br>Imagine I'm in love with you<br>It's easy cos I know<br>I've imagined I'm in love with you<br>Many, many, many times before<br><br>It's not like me to pretend<br>But I'll get you, I'll get you in the end<br>Yes I will, I'll get you in the end<br>Oh yeah, oh yeah<br><br>I think about you night and day<br>I need you and it's true<br>When I think about you, I can say<br>I'm never, never, never, never blue<br><br>So I'm telling you, my friend<br>That I'll get you, I'll get you in the end<br>Yes I will, I'll get you in the end<br>Oh yeah, oh yeah<br><br>Well, there's gonna be a time<br>When I'm gonna change/make your mind<br>So you might as well resign yourself to me<br>Oh yeah<br><br>Imagine I'm in love with you<br>It's easy cos I know<br>I've imagined I'm in love with you<br>Many, many, many times before<br><br>It's not like me to pretend<br>But I'll get you, I'll get you in the end<br>Yes I will, I'll get you in the end<br>Oh yeah, oh yeah<br>Oh yeah, oh yeah<br>Whoa yeah"
I'm A Loser,4,"I'm a loser<br>I'm a loser<br>And I'm not what I appear to be<br><br>Of all the love I have won or have lost<br>There is one love I should never have crossed<br>She was a girl in a million, my friend<br>I should have known she would win in the end<br><br>I'm a loser<br>And I lost someone who's near to me<br>I'm a loser<br>And I'm not what I appear to be<br><br>Although I laugh and I act like a clown<br>Beneath this mask I am wearing a frown<br>My tears are falling like rain from the sky<br>Is it for her or myself that I cry<br><br>I'm a loser<br>And I lost someone who's near to me<br>I'm a loser<br>And I'm not what I appear to be<br><br>What have I done to deserve such a fate<br>I realize I have left it too late<br>And so it's true, pride comes before a fall<br>I'm telling you so that you won't lose all<br><br>I'm a loser<br>And I lost someone who's near to me<br>I'm a loser<br>And I'm not what I appear to be"
I'm Down,4,"You telling lies thinking I can't see<br>You don't cry cos you're laughing at me<br>I'm down (I'm really down)<br>I'm down (Down on the ground)<br>I'm down (I'm really down)<br>How can you laugh when you know I'm down<br>(How can you laugh) When you know I'm down<br><br>Man buys ring woman throws it away<br>Same old thing happens everyday<br>I'm down (I'm really down)<br>I'm down (Down on the ground)<br>I'm down (I'm really down)<br>How can you laugh when you know I'm down<br>(How can you laugh) When you know I'm down<br><br>We're all alone and there's nobody else<br>You still moan, ""Keep your hands to yourself!""<br>I'm down (I'm really down)<br>Oh baby I'm down (Down on the ground)<br>I'm down (I'm really down)<br>How can you laugh when you know I'm down<br>(How can you laugh) When you know I'm down.<br>Waaaao! Baby I'm down<br><br>Oh baby you know I'm down (I'm really down)<br>Oh yes I'm down (I'm really down)<br>I'm down on the ground (I'm really down)<br>Ahhhh! Down (I'm really down)<br>Oh baby I'm upside down, a yea yea yea yea yea<br>I'm down (I'm really down)<br>Oh baby I'm down (I'm really down)<br>I'm feeling upside down (I'm really down)<br>Ooo! I'm down (I'm really down)<br>Baby I'm down yea<br>Oh baby I'm down yea<br>Baby I'm down (I'm really down)<br>Well baby I'm down (I'm really down)<br>Well baby baby baby (I'm really down)<br>Oh baby I'm down<br>I'm down, down, down"
I'm Happy Just To Dance With You,4,Before this dance is through<br>I think I'll love you too<br>I'm so happy when you dance with me<br><br>I don't want to kiss or hold your hand<br>If it's funny try and understand<br>There is really nothing else I'd rather do<br>Cos I'm happy just to dance with you<br><br>I don't need to hug or hold you tight<br>I just want to dance with you all night<br>In this world there's nothing I would rather do<br>Cos I'm happy just to dance with you<br><br>Just to dance with you<br>It's everything I need<br>Before this dance is through<br>I think I'll love you too<br>I'm so happy when you dance with me<br><br>If somebody tries to take my place<br>Let's pretend we just can't see his face<br>In this world there's nothing I would rather do<br>Cos I'm happy just to dance with you<br><br>Just to dance with you<br>It's everything I need<br>Before this dance is through<br>I think I'll love you too<br>I'm so happy when you dance with me<br><br>If somebody tries to take my place<br>Let's pretend we just can't see his face<br>In this world there's nothing I would rather do<br>I've discovered I'm in love with you<br>Cos I'm happy just to dance with you
I'm Looking Through You,4,"I'm looking through you, where did you go?<br>I thought I knew you, what did I know?<br>You don't look different, but you have changed<br>I'm looking through you, you're not the same<br><br>Your lips are moving, I cannot hear<br>Your voice is soothing, but the words aren't clear<br>You don't sound different, I've learned the game<br>I'm looking through you, you're not the same<br><br>Why, tell me why, did you not treat me right?<br>Love has a nasty habit of disappearing overnight<br><br>You're thinking of me, the same old way<br>You were above me, but not today<br>The only difference is you're down there<br>I'm looking through you, and you're nowhere<br><br>Why, tell me why, did you not treat me right?<br>Love has a nasty habit of disappearing overnight<br><br>I'm looking through you, where did you go<br>I thought I knew you, what did I know<br>You don't look different, but you have changed<br>I'm looking through you, you're not the same<br><br>Yeah<br>Oh baby I'm changed<br>Ah I'm looking through you<br>Yeah I'm looking through you"
I'm Only Sleeping,3,"When I wake up early in the morning<br>Lift my head, I'm still yawning<br>When I'm in the middle of a dream<br>Stay in bed, float up stream (Float up stream)<br><br>Please, don't wake me, no, don't shake me<br>Leave me where I am, I'm only sleeping<br><br>Everybody seems to think I'm lazy<br>I don't mind, I think they're crazy<br>Running everywhere at such a speed<br>Till they find there's no need (There's no need)<br><br>Please, don't spoil my day, I'm miles away<br>And after all I'm only sleeping<br><br>Keeping an eye on the world going by my window<br>Taking my time<br><br>Lying there and staring at the ceiling<br>Waiting for a sleepy feeling...<br><br>Please, don't spoil my day, I'm miles away<br>And after all I'm only sleeping<br><br>Ooh yeah<br><br>Keeping an eye on the world going by my window<br>Taking my time<br><br>When I wake up early in the morning<br>Lift my head, I'm still yawning<br>When I'm in the middle of a dream<br>Stay in bed, float up stream (Float up stream)<br><br>Please, don't wake me, no, don't shake me<br>Leave me where I am, I'm only sleeping"
I'm So Tired,4,"I'm so tired, I haven't slept a wink<br>I'm so tired, my mind is on the blink<br>I wonder should I get up and fix myself a drink<br>No, no, no<br><br>I'm so tired I don't know what to do<br>I'm so tired my mind is set on you<br>I wonder should I call you but I know what you would do<br><br>You'd say I'm putting you on<br>But it's no joke, it's doing me harm<br>You know I can't sleep, I can't stop my brain<br>You know it's three weeks, I'm going insane<br>You know I'd give you everything I've got<br>For a little peace of mind<br><br>I'm so tired, I'm feeling so upset<br>Although I'm so tired I'll have another cigarette<br>And curse Sir Walter Raleigh<br>He was such a stupid git<br><br>You'd say I'm putting you on<br>But it's no joke, it's doing me harm<br>You know I can't sleep, I can't stop my brain<br>You know it's three weeks, I'm going insane<br>You know I'd give you everything I've got<br>For a little peace of mind<br>I'd give you everything I've got<br>For a little peace of mind<br>I'd give you everything I've got<br>For a little peace of mind<br><br>(Monsieur, Monsieur, Monsieur, how about another one?)"
I've Got A Feeling,4,"I've got a feeling, a feeling deep inside<br>Oh yeah, oh yeah, that's right<br>I've got a feeling, a feeling I can't hide<br>No no no, oh no, oh no<br>Yeah yeah I've got a feeling yeah<br><br>Oh please believe me, I'd hate to miss the train<br>Oh yeah, yeah, oh yeah<br>And if you leave me I won't be late again<br>Oh no, oh no, oh no<br>Yeah yeah I've got a feeling yeah<br>I've got a feeling<br><br>All these years I've been wandering around<br>Wondering how come nobody told me<br>All that I was looking for was somebody<br>Who looked like you<br><br>I've got a feeling, that keeps me on my toes<br>Oh yeah, oh yeah<br><br>I've got a feeling, I think that everybody knows<br>Oh yeah, oh yeah, oh yeah<br>Yeah yeah I've got a feeling yeah<br>Yeah<br><br>Everybody had a hard year<br>Everybody had a good time<br>Everybody had a wet dream<br>Everybody saw the sunshine<br>Oh yeah, (oh yeah) oh yeah, oh yeah<br>Everybody had a good year<br>Everybody let their hair down<br>Everybody pulled their socks up<br>Everybody put their foot down<br>Oh yeah<br>Yeah I've got a feeling<br>A feeling deep inside<br>Oh yeah<br><br>Oh yeah<br><br>I've got a feeling<br>A feeling I can't hide<br>Oh no<br><br>Oh no no no<br><br>Yeah yeah yeah yeah<br>I've got a feeling<br><br>I've got a feeling<br><br>Everybody had a good year<br>Everybody had a hard time<br><br>Everybody had a wet dream<br><br>Everybody saw the sunshine<br><br>Everybody had a good year<br>Everybody let their hair down<br><br>Everybody pulled their socks up<br><br>Everybody put the foot down<br>Oh yeah<br><br>Oh yeah<br><br>I've got a feeling<br>Yeah yeah yeah yeah<br><br>[Oh my soul, so hard.]"
I've Just Seen A Face,4,"I've just seen a face<br>I can't forget the time or place<br>Where we just met<br>She's just the girl for me<br>And I want all the world to see<br>We've met, mmm-mmm-mmm-m'mmm-mmm<br><br>Had it been another day<br>I might have looked the other way<br>And I'd have never been aware<br>But as it is I'll dream of her<br>Tonight, di-di-di-di'n'di<br><br>Falling, yes I am falling<br>And she keeps calling<br>Me back again<br><br>I have never known<br>The like of this, I've been alone<br>And I have missed things<br>And kept out of sight<br>But other girls were never quite<br>Like this, da-da-n'da-da'n'da<br><br>Falling, yes I am falling<br>And she keeps calling<br>Me back again<br><br>Falling, yes I am falling<br>And she keeps calling<br>Me back again<br><br>I've just seen a face<br>I can't forget the time or place<br>Where we just met<br>She's just the girl for me<br>And I want all the world to see<br>We've met, mmm-mmm-mmm-da-da-da<br><br>Falling, yes I am falling<br>And she keeps calling<br>Me back again<br>Falling, yes I am falling<br>And she keeps calling<br>Me back again<br>Oh, falling, yes I am falling<br>And she keeps calling<br>Me back again"
